1,1397,"Bridge Of Weir, Renfrewshire, Scotland"
2,13,
3,12,
4,11,
5,10,"Lothian Road, Edinburgh"
6,9,"Greenside, Edinburgh, Leith"
7,8,"Greensde, Edinburgh, Leith"
8,7,"Princes Street, Edinburgh, New Town"
9,6,"Newton Street, Edinburgh, Gorgie"
10,4,"Newton Street, Edinburgh, Gorgie"
11,2,"Bath Street, Portobello"
12,43,"Royal Mile, Edinburgh, Old Town"
13,42,"Princes Street Gardens, Edinburgh, New Town"
14,41,"Princes Street, Edinburgh"
15,40,
16,39,"Grassmarket, Edinburgh, Old Town"
17,38,Silverknowes Promenade
18,37,Leith
19,36,Old Town
20,35,Leith
21,34,Fountainbridge
22,33,Fountainbridge
23,32,"Restalrig Park, Leith"
24,31,Old Town
25,30,"Victoria Terrace, Edinburgh, Old Town"
26,29,"Canongate, Edinburgh, Old Town"
27,28,"Harrison Park, Polwarth, Edinburgh, Gorgie"
28,27,
29,26,"Lawnmarket, Edinburgh, Old Town"
30,25,Sighthill
31,24,
32,23,"Brown Street, Edinburgh, Newington"
33,22,"Salisbury Street, Edinburgh , Newington"
34,21,"Mid and West Arthur Place, Edinburgh, Newington"
35,20,
36,19,
37,18,
38,17,
39,16,
40,15,
41,14,
42,76,
43,75,
44,74,
45,73,
46,72,
47,71,"Hailesland, Wester Hailes"
48,69,"George IV Bridge Edinburgh, Old Town"
49,67,"Milne's Court, Old Town"
50,66,"Greenside, Ediinburgh, Leith"
51,64,"Castle Terrace, Craigmillar, Craigmillar"
52,63,
53,62,Bruntsfield
54,61,Ratho
55,60,Portobello
56,59,
57,58,"Bath Street, Portobello"
58,57,"Bath Street, Portobello, Portobello"
59,56,"High Street, Portobello, Portobello"
60,55,Portobello
61,54,"High Street, Portobello, Portobello"
62,53,"Portobello Beach, Portobello"
63,52,
64,51,
65,50,
66,49,Piershill
67,48,Meadowbank
68,47,"Edinburgh Zoo, Corstorphine"
69,46,"Edinburgh Zoo, Corstorphine"
70,45,"Royal Mile, Edinburgh, Old Town"
71,44,"Royal Mile, Edinburgh, Old Town"
72,109,
73,108,
74,107,
75,106,"Meadownbank, Piershill"
76,105,"Calton Hill, Old Town"
77,104,"George IV Bridge, Old Town"
78,102,"Murrayburn, Wester Hailes"
79,101,"Hailesland, Wester Hailes"
80,100,"Easter Road, Leith"
81,99,"Hailesland, Wester Hailes"
82,98,
83,97,"council offices, Wester Hailes"
84,96,
85,95,
86,92,Gorgie
87,91,Gorgie
88,90,"Easter Road, Leith"
89,89,"India Place, Edinburgh, Stockbridge"
90,88,Wester Hailes
91,87,"Murrayburn, Wester Hailes"
92,86,"Calders, Wester Hailes"
93,85,"Wester Hailes, Wester Hailes"
94,84,"Hailesland, Wester Hailes"
95,83,
96,82,
97,81,
98,80,"Dunbar Close, Old Town"
99,79,"Royal Botanic Gardens Edinburgh, Stockbridge"
100,78,
101,77,
102,141,"Princes Street Gardens, Edinburgh, New Town"
103,140,"The Mound, Edinburgh, Old Town"
104,138,"Leith Links, Leith"
105,137,"Leith Walk, Leith"
106,136,
107,135,
108,134,
109,133,
110,132,
111,131,
112,130,
113,129,
114,128,
115,127,
116,126,
117,125,
118,124,
119,123,
120,122,
121,121,
122,120,
123,119,
124,118,
125,117,
126,116,
127,115,
128,114,
129,113,
130,112,
131,110,
132,171,"West End. Lothian Road, New Town"
133,170,"West End. Lothian Road, New Town"
134,169,"West End. Lothian Road, New Town"
135,168,"West End. Lothian Road, New Town"
136,167,"West End. Lothian Road, New Town"
137,166,"West End. Lothian Road, New Town"
138,165,"West End. Lothian Road, New Town"
139,164,"West End. Lothian Road, New Town"
140,163,"West End. Lothian Road, New Town"
141,162,"West End. Lothian Road, New Town"
142,161,"West End. Lothian Road, New Town"
143,160,"West End. Lothian Road, New Town"
144,159,"West End. Lothian Road, New Town"
145,158,"West End. Lothian Road, New Town"
146,157,"West End. Lothian Road, New Town"
147,156,"West End. Lothian Road, New Town"
148,155,"West End. Lothian Road, New Town"
149,154,"West End. Lothian Road, New Town"
150,153,"West End. Lothian Road, New Town"
151,152,"West End. Lothian Road, New Town"
152,151,"West End. Lothian Road, New Town"
153,150,"West End. Lothian Road, New Town"
154,149,"West End. Lothian Road, New Town"
155,148,"West End. Lothian Road, New Town"
156,147,"West End. Lothian Road, New Town"
157,146,"Grassmarket, Old Town"
158,145,"The Mound, Edinburgh, New Town"
159,144,"Arthur's Seat , Old Town"
160,143,"Scottish Parliament building, Holyrood, Old Town"
161,142,"George IV Bridge, Edinburgh, Old Town"
162,217,
